09:06:30 Server PID: 18204
09:07:20 Ready after 28s
09:07:20 Existing: 24 configs
09:07:20 Total: 136, Remaining: 112
09:08:31 [50/136] n_min=4, n_max=8: 0tok @ 0.0tok/s (ETA 4m)
09:08:32 [51/136] n_min=4, n_max=9: 0tok @ 0.0tok/s (ETA 4m)
09:08:33 [52/136] n_min=4, n_max=10: 0tok @ 0.0tok/s (ETA 4m)
09:08:34 [53/136] n_min=4, n_max=11: 0tok @ 0.0tok/s (ETA 4m)
09:08:34 [54/136] n_min=4, n_max=12: 0tok @ 0.0tok/s (ETA 3m)
09:08:35 [55/136] n_min=4, n_max=13: 0tok @ 0.0tok/s (ETA 3m)
09:08:36 [56/136] n_min=4, n_max=14: 0tok @ 0.0tok/s (ETA 3m)
09:08:37 [57/136] n_min=4, n_max=15: 0tok @ 0.0tok/s (ETA 3m)
09:08:38 [58/136] n_min=4, n_max=16: 0tok @ 0.0tok/s (ETA 3m)
09:08:38 [59/136] n_min=5, n_max=5: 0tok @ 0.0tok/s (ETA 3m)
09:08:39 [60/136] n_min=5, n_max=6: 0tok @ 0.0tok/s (ETA 3m)
09:08:40 [61/136] n_min=5, n_max=7: 0tok @ 0.0tok/s (ETA 3m)
09:08:41 [62/136] n_min=5, n_max=8: 0tok @ 0.0tok/s (ETA 3m)
09:08:41 [63/136] n_min=5, n_max=9: 0tok @ 0.0tok/s (ETA 3m)
09:08:42 [64/136] n_min=5, n_max=10: 0tok @ 0.0tok/s (ETA 2m)
09:08:43 [65/136] n_min=5, n_max=11: 0tok @ 0.0tok/s (ETA 2m)
09:08:44 [66/136] n_min=5, n_max=12: 0tok @ 0.0tok/s (ETA 2m)
09:08:45 [67/136] n_min=5, n_max=13: 0tok @ 0.0tok/s (ETA 2m)
09:08:45 [68/136] n_min=5, n_max=14: 0tok @ 0.0tok/s (ETA 2m)
09:08:46 [69/136] n_min=5, n_max=15: 0tok @ 0.0tok/s (ETA 2m)
09:08:47 [70/136] n_min=5, n_max=16: 0tok @ 0.0tok/s (ETA 2m)
09:08:48 [71/136] n_min=6, n_max=6: 0tok @ 0.0tok/s (ETA 2m)
09:08:49 [72/136] n_min=6, n_max=7: 0tok @ 0.0tok/s (ETA 2m)
09:08:49 [73/136] n_min=6, n_max=8: 0tok @ 0.0tok/s (ETA 2m)
09:08:50 [74/136] n_min=6, n_max=9: 0tok @ 0.0tok/s (ETA 2m)
09:08:51 [75/136] n_min=6, n_max=10: 0tok @ 0.0tok/s (ETA 2m)
09:08:52 [76/136] n_min=6, n_max=11: 0tok @ 0.0tok/s (ETA 2m)
09:08:53 [77/136] n_min=6, n_max=12: 0tok @ 0.0tok/s (ETA 2m)
09:08:53 [78/136] n_min=6, n_max=13: 0tok @ 0.0tok/s (ETA 2m)
09:08:54 [79/136] n_min=6, n_max=14: 0tok @ 0.0tok/s (ETA 2m)
09:08:55 [80/136] n_min=6, n_max=15: 0tok @ 0.0tok/s (ETA 2m)
09:08:56 [81/136] n_min=6, n_max=16: 0tok @ 0.0tok/s (ETA 2m)
09:08:56 [82/136] n_min=7, n_max=7: 0tok @ 0.0tok/s (ETA 1m)
09:08:57 [83/136] n_min=7, n_max=8: 0tok @ 0.0tok/s (ETA 1m)
09:08:58 [84/136] n_min=7, n_max=9: 0tok @ 0.0tok/s (ETA 1m)
09:08:59 [85/136] n_min=7, n_max=10: 0tok @ 0.0tok/s (ETA 1m)
09:09:00 [86/136] n_min=7, n_max=11: 0tok @ 0.0tok/s (ETA 1m)
09:09:00 [87/136] n_min=7, n_max=12: 0tok @ 0.0tok/s (ETA 1m)
09:09:01 [88/136] n_min=7, n_max=13: 0tok @ 0.0tok/s (ETA 1m)
09:09:02 [89/136] n_min=7, n_max=14: 0tok @ 0.0tok/s (ETA 1m)
09:09:03 [90/136] n_min=7, n_max=15: 0tok @ 0.0tok/s (ETA 1m)
09:09:04 [91/136] n_min=7, n_max=16: 0tok @ 0.0tok/s (ETA 1m)
09:09:04 [92/136] n_min=8, n_max=8: 0tok @ 0.0tok/s (ETA 1m)
09:09:15 [93/136] n_min=8, n_max=9: 256tok @ 24.8tok/s (ETA 1m)
09:09:27 [94/136] n_min=8, n_max=10: 256tok @ 20.9tok/s (ETA 1m)
09:09:32 [95/136] n_min=8, n_max=11: ERROR Expecting value: line 1 column 1 (char 0)
09:09:35 [96/136] n_min=8, n_max=12: ERROR Expecting value: line 1 column 1 (char 0)
09:09:38 [97/136] n_min=8, n_max=13: ERROR Expecting value: line 1 column 1 (char 0)
09:09:41 [98/136] n_min=8, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:09:44 [99/136] n_min=8, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:09:46 [100/136] n_min=8, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:09:49 [101/136] n_min=9, n_max=9: ERROR Expecting value: line 1 column 1 (char 0)
09:09:52 [102/136] n_min=9, n_max=10: ERROR Expecting value: line 1 column 1 (char 0)
09:09:55 [103/136] n_min=9, n_max=11: ERROR Expecting value: line 1 column 1 (char 0)
09:09:58 [104/136] n_min=9, n_max=12: ERROR Expecting value: line 1 column 1 (char 0)
09:10:00 [105/136] n_min=9, n_max=13: ERROR Expecting value: line 1 column 1 (char 0)
09:10:03 [106/136] n_min=9, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:10:06 [107/136] n_min=9, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:10:09 [108/136] n_min=9, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:10:11 [109/136] n_min=10, n_max=10: ERROR Expecting value: line 1 column 1 (char 0)
09:10:14 [110/136] n_min=10, n_max=11: ERROR Expecting value: line 1 column 1 (char 0)
09:10:17 [111/136] n_min=10, n_max=12: ERROR Expecting value: line 1 column 1 (char 0)
09:10:20 [112/136] n_min=10, n_max=13: ERROR Expecting value: line 1 column 1 (char 0)
09:10:22 [113/136] n_min=10, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:10:25 [114/136] n_min=10, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:10:28 [115/136] n_min=10, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:10:31 [116/136] n_min=11, n_max=11: ERROR Expecting value: line 1 column 1 (char 0)
09:10:33 [117/136] n_min=11, n_max=12: ERROR Expecting value: line 1 column 1 (char 0)
09:10:36 [118/136] n_min=11, n_max=13: ERROR Expecting value: line 1 column 1 (char 0)
09:10:39 [119/136] n_min=11, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:10:42 [120/136] n_min=11, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:10:45 [121/136] n_min=11, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:10:47 [122/136] n_min=12, n_max=12: ERROR Expecting value: line 1 column 1 (char 0)
09:10:50 [123/136] n_min=12, n_max=13: ERROR Expecting value: line 1 column 1 (char 0)
09:10:53 [124/136] n_min=12, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:10:56 [125/136] n_min=12, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:10:59 [126/136] n_min=12, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:11:01 [127/136] n_min=13, n_max=13: ERROR Expecting value: line 1 column 1 (char 0)
09:11:04 [128/136] n_min=13, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:11:07 [129/136] n_min=13, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:11:10 [130/136] n_min=13, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:11:12 [131/136] n_min=14, n_max=14: ERROR Expecting value: line 1 column 1 (char 0)
09:11:15 [132/136] n_min=14, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:11:18 [133/136] n_min=14, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:11:21 [134/136] n_min=15, n_max=15: ERROR Expecting value: line 1 column 1 (char 0)
09:11:24 [135/136] n_min=15, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:11:27 [136/136] n_min=16, n_max=16: ERROR Expecting value: line 1 column 1 (char 0)
09:11:27 
SWEEP COMPLETE in 4.1m
09:11:27 
=== TOP 15 ===
09:11:27   n_min=1, n_max=14: 27.7 tok/s (256 tok)
09:11:27   n_min=1, n_max=15: 27.4 tok/s (256 tok)
09:11:27   n_min=1, n_max=4: 27.3 tok/s (256 tok)
09:11:27   n_min=2, n_max=8: 27.1 tok/s (256 tok)
09:11:27   n_min=1, n_max=2: 26.7 tok/s (256 tok)
09:11:27   n_min=1, n_max=9: 26.5 tok/s (256 tok)
09:11:27   n_min=1, n_max=12: 26.4 tok/s (256 tok)
09:11:27   n_min=2, n_max=5: 26.4 tok/s (256 tok)
09:11:27   n_min=2, n_max=7: 26.4 tok/s (256 tok)
09:11:27   n_min=1, n_max=5: 26.2 tok/s (256 tok)
09:11:27   n_min=1, n_max=3: 26.2 tok/s (256 tok)
09:11:27   n_min=1, n_max=13: 26.2 tok/s (256 tok)
09:11:27   n_min=2, n_max=8: 26.1 tok/s (256 tok)
09:11:27   n_min=2, n_max=9: 26.1 tok/s (256 tok)
09:11:27   n_min=2, n_max=3: 25.9 tok/s (256 tok)
09:11:27 Server killed
