ctx_len,prompt_tok_s,decode_tok_s,avg_tokens,draft_n_avg,draft_acc_avg,draft_rate_pct
256,371.95750714651075,26.857026083335192,256.0,209.0,149.8,71.67464114832536
1024,374.32071289037106,25.325623794761732,228.4,184.0,131.4,71.41304347826087
2048,385.7805039500123,28.980058088246444,235.2,184.8,141.8,76.73160173160173
4096,370.3688358948754,26.625698068153575,256.0,194.4,151.4,77.88065843621399
8192,352.99517352829974,23.773401821739693,256.0,190.8,140.4,73.58490566037736
16384,334.29195703896187,24.516030869300756,248.4,191.2,142.8,74.68619246861927
24576,325.04744556130726,21.878971083221522,231.2,162.0,130.6,80.61728395061728
32768,312.4311830133987,20.251424733826006,212.8,155.8,119.4,76.6367137355584
