n_min,n_max,tokens,tok_s,error
1,1,256,24.58
1,2,256,23.99
1,3,256,26.23
1,4,256,25.78
1,5,256,24.39
1,6,256,25.18
1,7,256,24.18
1,8,256,24.88
1,9,256,23.72
1,10,256,25.34
1,11,256,24.22
1,12,256,26.43
1,13,256,26.21
1,14,256,24.29
1,15,256,27.36
1,16,256,24.58
2,2,256,23.58
2,3,256,22.07
2,4,256,25.83
2,5,256,26.42
2,6,256,25.44
2,7,256,26.4
2,8,256,26.13
2,9,256,24.79
1,1,256,24.61
1,2,256,26.7
1,3,256,22.04
1,4,256,27.26
1,5,256,26.25
1,6,256,24.46
1,7,256,24.93
1,8,256,24.51
1,9,256,26.48
1,10,256,25.59
1,11,256,25.38
1,12,256,25.66
1,13,256,25.09
1,14,256,27.7
1,15,256,23.75
1,16,256,24.87
2,2,256,22.57
2,3,256,25.95
2,4,256,25.29
2,5,256,24.97
2,6,256,25.44
2,7,256,24.29
2,8,256,27.07
2,9,256,26.06
2,10,256,24.49
2,11,256,23.99
2,12,256,24.32
2,13,256,25.38
2,14,256,23.95
2,16,0,0.0
3,3,0,0.0
3,4,0,0.0
3,5,0,0.0
3,6,0,0.0
3,7,0,0.0
3,8,0,0.0
3,9,0,0.0
3,10,0,0.0
3,11,0,0.0
3,12,0,0.0
3,13,0,0.0
3,14,0,0.0
3,15,0,0.0
3,16,0,0.0
4,4,0,0.0
4,5,0,0.0
4,6,0,0.0
4,7,0,0.0
4,8,0,0.0
4,9,0,0.0
4,10,0,0.0
4,11,0,0.0
4,12,0,0.0
4,13,0,0.0
4,14,0,0.0
4,15,0,0.0
4,16,0,0.0
5,5,0,0.0
5,6,0,0.0
5,7,0,0.0
5,8,0,0.0
5,9,0,0.0
5,10,0,0.0
5,11,0,0.0
5,12,0,0.0
5,13,0,0.0
5,14,0,0.0
5,15,0,0.0
5,16,0,0.0
6,6,0,0.0
6,7,0,0.0
6,8,0,0.0
6,9,0,0.0
6,10,0,0.0
6,11,0,0.0
6,12,0,0.0
6,13,0,0.0
6,14,0,0.0
6,15,0,0.0
6,16,0,0.0
7,7,0,0.0
7,8,0,0.0
7,9,0,0.0
7,10,0,0.0
7,11,0,0.0
7,12,0,0.0
7,13,0,0.0
7,14,0,0.0
7,15,0,0.0
7,16,0,0.0
8,8,0,0.0
8,9,256,24.8
8,10,256,20.86
